# 출처: https://datalaw.kr/mediation/ · 수집일 2026-09-11 · 개인정보분쟁조정위원회 공개 사례에서 기계 추출한 요약으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 위원회 원문을 확인하십시오 · 정정 요청: hyunsub.lee@seumlaw.com
연번,연도,구분,침해유형,제목,손해배상 금액,결론,판단 이유,인용 조문,원문,행 주소
604,2008,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,정보통신서비스제공자의 홈페이지 관리 소홀로 인한 검색사이트에 개인정보 노출,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=397&VA=content,https://datalaw.kr/mediation/#m-397
605,2008,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,정보통신서비스제공자(준용사업자)의 시스템 관리 소홀로 인한 검색사이트에 개인정보 노출,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=396&VA=content,https://datalaw.kr/mediation/#m-396
606,2008,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,통합아이디 서비스를 위한 동의 없는 개인정보 제3자 제공,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=395&VA=content,https://datalaw.kr/mediation/#m-395
607,2008,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,홈쇼핑회사의 이용자 개인정보의 제3자 제공,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=394&VA=content,https://datalaw.kr/mediation/#m-394
608,2008,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,정보통신서비스제공자의 개인정보 관리적 조치 미비로 인한 개인정보 제3자 제공,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=393&VA=content,https://datalaw.kr/mediation/#m-393
609,2008,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,대형마트의 이용자의 동의 없는 개인정보 제3자 제공,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=392&VA=content,https://datalaw.kr/mediation/#m-392
610,2008,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,정보통신서비스제공자의 명확하지 않은 방법으로 동의 획득 후 개인정보 제3자 제공,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=391&VA=content,https://datalaw.kr/mediation/#m-391
611,2008,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,이동통신사의 이용자 동의 없는 개인정보 제3자 제공,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=390&VA=content,https://datalaw.kr/mediation/#m-390
612,2008,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,이용자 사진이 포함된 청첩장 관리소홀로 인한 개인정보 제3자 제공,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=389&VA=content,https://datalaw.kr/mediation/#m-389
613,2008,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,통합아이디 서비스를 위한 동의 없는 개인정보 제3자 제공,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=388&VA=content,https://datalaw.kr/mediation/#m-388
614,2008,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,정보통신제공자의 해지 고객 아이디의 타인 양도 등 목적 외 이용,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=387&VA=content,https://datalaw.kr/mediation/#m-387
615,2008,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,이동통신사의 이용자 개인정보 무단 열람 등 목적 외 이용,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=386&VA=content,https://datalaw.kr/mediation/#m-386
616,2008,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,유선사업자의 이용자 개인정보 무단 이용(동의 없이 요금제 변경),,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=385&VA=content,https://datalaw.kr/mediation/#m-385
617,2008,조정결정사례,동의 없는 개인정보 수집,정보통신서비스제공자의 이용자 동의 없는 개인정보 수집,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=384&VA=content,https://datalaw.kr/mediation/#m-384
618,2008,조정결정사례,동의 없는 개인정보 수집,대형마트의 개인정보 수집시 고지사항 미고지(마트 내 경품이벤트 진행 회사의 개인정보 수집 등 사항을 미고지),,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=383&VA=content,https://datalaw.kr/mediation/#m-383
619,2008,조정결정사례,동의 없는 개인정보 수집,아동의 법정대리인 신분확인을 위한 이동통신사업자의 과도한 개인정보 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=382&VA=content,https://datalaw.kr/mediation/#m-382
620,2008,조정결정사례,동의 없는 개인정보 수집,단말기 제조사를 통한 동의 없는 개인정보 수집,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=381&VA=content,https://datalaw.kr/mediation/#m-381
621,2007,조정결정사례,기타 개인정보 침해,본인 동의 없는 이동전화 명의변경에 따른 손해배상 요구건,"13,050원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=322&VA=content,https://datalaw.kr/mediation/#m-322
622,2007,조정결정사례,기타 개인정보 침해,온라인쇼핑몰사업자의 과도한 개인 정보 수집에 대한 손해배상 요구건,,,,제23조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=321&VA=content,https://datalaw.kr/mediation/#m-321
623,2007,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,인터넷통신사업자의 동의철회불응에 대한 손해배상 요구건,"500,000원; 200,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=320&VA=content,https://datalaw.kr/mediation/#m-320
624,2007,조정결정사례,보유기간 경과나 목적달성 후 개인정보 미파기,유선방송사업자의 개인 정보 미파기 등에 의한 손해배상 요구건,"300,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=319&VA=content,https://datalaw.kr/mediation/#m-319
625,2007,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,인터넷 통신사업자의 기술적 관리적 조치 위반에 대한 손해 배상 요구건,"200,000원",,,제28조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=318&VA=content,https://datalaw.kr/mediation/#m-318
626,2007,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,비공개 정보가 사업자의 기술적·관리적 조치의 미비로 노출된 경우의 손해배상 청구건,"500만원; 500,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=317&VA=content,https://datalaw.kr/mediation/#m-317
627,2007,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,유선전화 서비스 가입 신청 시 수집한 개인 정보를 제 3자에게 제공한건,"200,000원",,,제24조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=316&VA=content,https://datalaw.kr/mediation/#m-316
628,2007,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,통신사업자가 부가서비스에 대한 설문조사를 위해 고객 정보를 동의없이 리서치회사에 제공한건,"300,000원",,,제24조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=315&VA=content,https://datalaw.kr/mediation/#m-315
629,2007,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,초고속인터넷사업자의 본인 동의없는 개인정보 제3자 제공에 대한 손해배상 요구건,"100,000원",,,제22조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=314&VA=content,https://datalaw.kr/mediation/#m-314
630,2007,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,초고속 인터넷사업자의 개인 정보의 목적 외 이용에 따른 손해 배상 요구건,"3,000원; 300,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=313&VA=content,https://datalaw.kr/mediation/#m-313
631,2007,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,해지고객 개인정보 목적외 이용에대한 손해배상 요구건,"200,000원",,,제24조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=312&VA=content,https://datalaw.kr/mediation/#m-312
632,2007,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,초고속인터넷사업자의 해지고객 개인정보 목적외 이용에 대한 손해배상 요구건,"200,000원",,,제24조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=311&VA=content,https://datalaw.kr/mediation/#m-311
633,2007,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,해지고객 개인정보 목적 외 이용에 대한손해배상 요구건,"1,500,000원; 300,000원",,,제24조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=310&VA=content,https://datalaw.kr/mediation/#m-310
634,2007,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,초고속 인터넷 사업자의 개인 정보의 목적외 이용에 대한 손해 배상 요구건,"200,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=309&VA=content,https://datalaw.kr/mediation/#m-309
635,2007,조정결정사례,기타 개인정보 침해,유선통신사업자의 부가서비스 무단가입에 대한 손해배상 요구 건,"1,000원; 5,000원; 300,000원; 112,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=308&VA=content,https://datalaw.kr/mediation/#m-308
636,2007,조정결정사례,기타 개인정보 침해,초고속 인터넷 개통시 본인 확인 미비로 명의 도용된 경우의 손해 배상 요구 건,"300,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=307&VA=content,https://datalaw.kr/mediation/#m-307
637,2007,조정결정사례,기타 개인정보 침해,개인정보 수집시 고지의무 불이행에 관한 건,"500,000원; 500,000만원; 200,000만원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=306&VA=content,https://datalaw.kr/mediation/#m-306
638,2006,조정결정사례,기타 개인정보 침해,건설회사의 아파트 입주예정자 정보의 하청업체 제공에 대한 손해배상요구의 건,"300,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=276&VA=content,https://datalaw.kr/mediation/#m-276
639,2006,조정결정사례,기타 개인정보 침해,유선전화사업자의 신용정보 무단조회 건,"100,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=275&VA=content,https://datalaw.kr/mediation/#m-275
640,2006,조정결정사례,기타 개인정보 침해,이동통신사의 CP업체 관리감독의무 위반에 대한 손해배상 요구 건,"200,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=274&VA=content,https://datalaw.kr/mediation/#m-274
641,2006,조정결정사례,기타 개인정보 침해,직업전문학교의 수료자 명단이 검색사이트에 노출된 것에 대한 손해배상요구 건,"10,000,000원; 200,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=273&VA=content,https://datalaw.kr/mediation/#m-273
642,2006,조정결정사례,기타 개인정보 침해,게임사업자의 명의도용 방조행위에 대한 손해배상요구 건,"100,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=272&VA=content,https://datalaw.kr/mediation/#m-272
643,2006,조정결정사례,기타 개인정보 침해,위성방송사 영업점의 고객 개인정보를 이용한 텔레마케팅 행위에 대한 손해배상요구 건,"14,900원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=271&VA=content,https://datalaw.kr/mediation/#m-271
644,2006,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,통신사업자가 개인정보 열람 내역 및 제3자 제공내역에 대한 열람을 거부한 건,,,,제30조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=270&VA=content,https://datalaw.kr/mediation/#m-270
645,2006,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,(주)A사의 개인정보 정정요구 불응 및 미정정 정보 이용에 대한 손해배상요구 건,"2,000,000원",,,제30조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=269&VA=content,https://datalaw.kr/mediation/#m-269
646,2006,조정결정사례,보유기간 경과나 목적달성 후 개인정보 미파기,온라인 커뮤니티사업자의 고객정보 미파기 및 목적 외 이용에 대한 손해배상요구 건,"400,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=268&VA=content,https://datalaw.kr/mediation/#m-268
647,2006,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,유선전화사업자가 제3자에게 요금체납사실을 SMS로 고지한 행위에 대한 손해배상요구 건,"100,000원",,,제28조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=267&VA=content,https://datalaw.kr/mediation/#m-267
648,2006,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,초고속인터넷사업자의 고객 개인정보 관리소홀에 대한 손해배상 요구 건,"200,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=266&VA=content,https://datalaw.kr/mediation/#m-266
649,2006,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,(주)A통신사의 개인정보취급관리자에 의한 개인정보침해에 대한 손해배상요구 건,"2,000,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=265&VA=content,https://datalaw.kr/mediation/#m-265
650,2006,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,(주)XX 이동통신사 대리점 직원에 의한 개인 통화내역 출력행위에 대한 손해배상요구 건,"3,000,000원",,,제28조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=264&VA=content,https://datalaw.kr/mediation/#m-264
651,2006,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,유선전화사업자의 채권추심과정상의 개인정보 제3자 제공에 대한 손해배상요구 건,"150,000원",,,제24조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=263&VA=content,https://datalaw.kr/mediation/#m-263
652,2006,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,이동통신사업자의 부가서비스 무단가입 건,"1,000,000원; 356,500원; 150,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=262&VA=content,https://datalaw.kr/mediation/#m-262
653,2006,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,초고속인터넷사업자의 부가서비스 무단 가입 및 관리 소홀에 대한 손해배상요구 건,"1,000,000원; 400,000원",,,제24조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=261&VA=content,https://datalaw.kr/mediation/#m-261
654,2006,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,(주)A 유선사업자가 이용자의 동의없이 고객 개인정보를 서비스 홍보에 이용한 건,"200,000원",,,제24조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=260&VA=content,https://datalaw.kr/mediation/#m-260
655,2006,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,금융기관에서 민원해결을 위해 고객 개인정보를 무단 조회한 건,"500,000원",,,제24조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=259&VA=content,https://datalaw.kr/mediation/#m-259
656,2006,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,방문판매업자의 판매대행업체의 고객 개인정보의 목적외 이용에 대한 손해배상요구 건,"300,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=258&VA=content,https://datalaw.kr/mediation/#m-258
657,2006,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,(주)X 통신사의 해지고객 개인정보 목적외 이용에 대한 손해배상요구 건,"10,000,000원; 700,000원",,,제24조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=257&VA=content,https://datalaw.kr/mediation/#m-257
658,2006,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,(주)A 홈쇼핑의 대리 인터넷 회원가입행위에 대한 손해배상요구 건,"5,000원; 50만원",,,제24조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=256&VA=content,https://datalaw.kr/mediation/#m-256
659,2006,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,초고속인터넷사업자의 웹사이트 임의 가입에 대한 손해배상 요구 건,"10만원; 1,000,000원",,,제24조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=255&VA=content,https://datalaw.kr/mediation/#m-255
660,2006,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,유선전화 사업자의 부가서비스 무단 가입건,"100만원; 1,000,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=254&VA=content,https://datalaw.kr/mediation/#m-254
661,2006,조정결정사례,기타 개인정보 침해,제휴업체에 개인정보 제공시 개인정보보호정책상의 고지의무 불이행에 관한 건,"1,000,000원",,,제22조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=253&VA=content,https://datalaw.kr/mediation/#m-253
662,2005,조정결정사례,동의 없는 개인정보 수집,보습학원 운영자가 법정대리인의 동의 없이 아동의 개인정보를 수집한 건,"300,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=222&VA=content,https://datalaw.kr/mediation/#m-222
663,2005,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,온라인 사업자가 주민등록번호 도용피해자에 대한 신분확인을 위해 신분증을 요구하는 업무관행에 대한 시정 요구건,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=221&VA=content,https://datalaw.kr/mediation/#m-221
664,2005,조정결정사례,보유기간 경과나 목적달성 후 개인정보 미파기,초고속 인터넷사업자가 상품상담시 수집한 이용자의 개인정보를 파기하지 않고 전화 광고에 이용한 건,"300,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=220&VA=content,https://datalaw.kr/mediation/#m-220
665,2005,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,인터넷 경매사이트의 배송조회 서비스에서 회원 개인정보가 노출된 건,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=219&VA=content,https://datalaw.kr/mediation/#m-219
666,2005,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,홈쇼핑 사업자 웹사이트에서 회원 개인정보가 열람된 건,"500,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=218&VA=content,https://datalaw.kr/mediation/#m-218
667,2005,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,초고속 인터넷사업자 사외 영업점이 고객들에게 다른 초고속 인터넷서비스 전환가입을 권유한 건,"200,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=217&VA=content,https://datalaw.kr/mediation/#m-217
668,2005,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,인터넷 블로그 서비스의 ‘비밀일기’ 게시물이 웹사이트에 노출된 건,"1,000,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=216&VA=content,https://datalaw.kr/mediation/#m-216
669,2005,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,성형외과 병원 회원정보가 웹사이트를 통해 노출된 건,"300,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=215&VA=content,https://datalaw.kr/mediation/#m-215
670,2005,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,통신사업자가 인터넷 서비스 영업 양수시 이용자에 대한 통지의무를 불이행한 건,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=214&VA=content,https://datalaw.kr/mediation/#m-214
671,2005,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,이동통신사 직원이 고객의 통화내역을 동의없이 열람한 건,"1,000,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=213&VA=content,https://datalaw.kr/mediation/#m-213
672,2005,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,인터넷 영화예매 사업자가 고객 개인정보를 동의없이 보험사에 제공했다고 주장한 건,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=212&VA=content,https://datalaw.kr/mediation/#m-212
673,2005,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,온라인 경매 사업자가 고객 개인정보를 동의없이 리서치 기관에 제공한 건,"300,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=211&VA=content,https://datalaw.kr/mediation/#m-211
674,2005,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,병원이 의무기록상의 개인정보를 동의 없이 제3자에게 제공한 건,"500,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=210&VA=content,https://datalaw.kr/mediation/#m-210
675,2005,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,이동통신사 대리점 직원의 고객 개인정보 무단 열람 및 경찰 사칭행위에 대한 손해배상 요구 건,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=209&VA=content,https://datalaw.kr/mediation/#m-209
676,2005,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,통신사업자가 전화상담원 교육생의 개인정보를 무단으로 열람․조회했다고 주장한 건,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=208&VA=content,https://datalaw.kr/mediation/#m-208
677,2005,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,통신사업자가 고객의 개인정보를 이용하여 발신번호 표시서비스에 무단 가입시켰다고 주장한 건,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=207&VA=content,https://datalaw.kr/mediation/#m-207
678,2005,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,신용카드사가 자사 고객의 웹사이트 회원정보를 동의없이 수정한 건,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=206&VA=content,https://datalaw.kr/mediation/#m-206
679,2005,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,항공사 직원이 고객의 동의없이 타 항공사의 탑승실적을 무단 조회한 건,"500,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=205&VA=content,https://datalaw.kr/mediation/#m-205
680,2005,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,쇼핑센터가 고객의 개인정보를 이용하여 자사 웹사이트에 무단으로 회원가입 시킨 건,"300,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=204&VA=content,https://datalaw.kr/mediation/#m-204
681,2005,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,이동통신사 대리점 직원이 고객의 개인정보를 열람하여 사적인 통화에 무단 이용한 건,"300,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=203&VA=content,https://datalaw.kr/mediation/#m-203
682,2005,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,통신사업자가 고객의 개인정보를 목적외로 이용하여 정액요금제에 무단 가입시킨 건,"100만원; 94,290원; 300,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=202&VA=content,https://datalaw.kr/mediation/#m-202
683,2005,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,미팅알선 서비스 사업자가 고지․명시한 범위를 초과하여 고객의 인사말을 목적외로 이용한 건,"500,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=201&VA=content,https://datalaw.kr/mediation/#m-201
684,2005,조정결정사례,과도한 개인정보 수집,신용카드회사가 비회원의 전화상담 신청시 과도한 개인정보를 수집한 건,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=200&VA=content,https://datalaw.kr/mediation/#m-200
685,2005,조정결정사례,동의 없는 개인정보 수집,이동통신사 대리점 직원이 이용자 개인정보를 무단 수집하여 휴대전화 개통에 이용한 건,"500,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=199&VA=content,https://datalaw.kr/mediation/#m-199
686,2005,조정결정사례,동의 없는 개인정보 수집,통신사업자 대리점 직원이 이용자 개인정보를 무단 수집하여 휴대전화 개통에 이용한 건,"300,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=198&VA=content,https://datalaw.kr/mediation/#m-198
687,2004,조정결정사례,기타 개인정보 침해,은행이 신용카드사와 웹사이트를 통합하면서 동의없이 고객의 웹사이트 계정을 삭제한 건,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=152&VA=content,https://datalaw.kr/mediation/#m-152
688,2004,조정결정사례,기타 개인정보 침해,통신사업자가 고객의 전화서비스 가입시 본인확인을 미비한 건,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=151&VA=content,https://datalaw.kr/mediation/#m-151
689,2004,조정결정사례,기타 개인정보 침해,사업자가 자사의 웹사이트에 올려진 진정내용을 동의없이 피진정자에게 공개한 건,"1,000,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=150&VA=content,https://datalaw.kr/mediation/#m-150
690,2004,조정결정사례,기타 개인정보 침해,형외과병원이 고객의 성형수술 전후사진을 병원 웹사이트에 무단으로 게재한 건,"7,000,000원; 1,000,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=149&VA=content,https://datalaw.kr/mediation/#m-149
691,2004,조정결정사례,기타 개인정보 침해,성형외과병원이 고객의 성형수술장면 동영상을 병원 웹사이트에 무단으로 게재한 건,"4,000,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=148&VA=content,https://datalaw.kr/mediation/#m-148
692,2004,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,타인정보의 훼손․침해․도용 관련 국내외 관련 판례 및 사례,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=147&VA=content,https://datalaw.kr/mediation/#m-147
693,2004,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,온라인 게임사업자가 이용자의 채팅 내용을 동의없이 열람한 건,"500,000원",,,제49조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=146&VA=content,https://datalaw.kr/mediation/#m-146
